Target,CEACAM4,LAMP1,PLAC8,PLA2G7
1,0,0,0,0
2,5004,0,0,0
2,170,8,14033,0
2,407,10,41785,0
2,101015,4801,108257,0
2,54404,4278,122658,0
2,29401,0,15584,222
2,100757,8556,58391,1340
1,372,38,70963,0
2,357,26,14506,0
1,40788,7412,39027,0
2,96578,9932,49761,972
2,113883,14719,108730,1294
1,1955,23,218959,0
1,671,42,56191,0
1,1071,480,109613,0
1,1491,106,53750,0
1,913,72,176490,0
1,1650,120,91662,0
1,2789,110,227196,0
1,2780,159,232707,0
1,1707,662,246992,0
1,411115,46754,499847,900
